"year","team","name","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP","CG","SHO","QS","BSV","TBF","NP","AVG","2B","3B","SAC","SF","IBB","WP","BK","GS","Wgs","Wgr","GF","SVO","TS","GDP","GO","AO","GO_AO","BABIP","P_G","P_IP","K_9","BB_9","K_BB","OBP","SLG","OPS","rank_sv","closer","is_fa","log_salary"
2020,"삼성","임현준","1.78",51,1,1,0,5,"0.500",25.3333333333333,24,2,7,6,18,7,5,"1.22",0,0,0,0,109,419,"0.261",3,0,1,3,1,1,0,0,0,1,5,8,0,1,16,37,"0.43",0.293,8.2,"16.5","6.39","2.49","2.57",0.343,"0.359",0.702,3,"0",0,9.21034037197618
2020,"삼성","오승환","2.64",45,3,2,18,2,"0.600",47.6666666666667,44,2,15,2,39,14,14,"1.24",0,0,0,4,201,790,"0.244",10,1,4,0,0,1,0,0,0,3,34,24,3,1,41,56,"0.73",0.302,17.6,"16.6","7.36","2.83","2.60",0.31,"0.344",0.654,1,"1",0,11.6082356447746
2020,"삼성","이승현(우)","3.48",65,1,2,0,14,"0.333",54.3333333333333,45,11,25,0,52,22,21,"1.29",0,0,0,2,226,924,"0.228",7,1,3,1,1,2,0,0,0,1,6,16,0,5,40,61,"0.66",0.252,14.2,"17.0","8.61","4.14","2.08",0.314,"0.442",0.756,3,"0",0,9.61580548008435
2020,"삼성","노건우","4.46",45,2,3,0,10,"0.400",36.3333333333333,28,3,29,2,34,23,18,"1.57",0,0,0,0,166,676,"0.211",5,0,1,1,1,7,0,0,0,2,7,10,0,3,26,46,"0.57",0.258,15,"18.6","8.42","7.18","1.17",0.358,"0.316",0.674,3,"0",0,8.85366542803745
2020,"삼성","김무신","4.66",61,3,5,0,12,"0.375",58,66,6,31,1,41,34,30,"1.67",0,0,0,3,266,1006,"0.288",9,0,4,1,3,7,0,0,0,3,14,15,0,3,58,65,"0.89",0.328,16.5,"17.3","6.36","4.81","1.32",0.374,"0.406",0.78,3,"0",0,8.98719682066197
2020,"삼성","최지광","4.87",51,1,3,0,15,"0.250",44.3333333333333,34,2,31,3,45,24,24,"1.47",0,0,0,6,199,781,"0.218",5,0,5,4,4,5,0,0,0,1,2,23,0,4,42,39,"1.08",0.283,15.3,"17.6","9.14","6.29","1.45",0.351,"0.288",0.639,3,"0",0,9.39266192877014
2020,"삼성","김대우","5.10",28,3,7,0,1,"0.300",77.6666666666667,95,9,26,6,37,49,44,"1.56",0,0,1,0,350,1346,"0.304",17,1,1,4,0,1,1,9,2,1,3,1,0,5,72,113,"0.64",0.317,48.1,"17.3","4.29","3.01","1.42",0.364,"0.450",0.814,3,"0",0,9.64859530290734
2020,"삼성","장필준","5.75",31,0,3,0,4,"0.000",36,46,6,16,0,26,24,23,"1.72",0,0,0,0,170,666,"0.303",9,0,2,0,0,5,0,2,0,0,9,2,0,1,34,46,"0.74",0.333,21.5,"18.5","6.50","4.00","1.63",0.369,"0.480",0.849,3,"0",0,9.71111565988867
2020,"삼성","홍정우","6.60",30,0,0,0,1,"-",30,37,5,12,1,29,23,22,"1.63",0,0,0,0,139,560,"0.303",4,1,0,4,0,1,0,0,0,0,13,0,0,1,30,30,"1.00",0.348,18.7,"18.7","8.70","3.60","2.42",0.36,"0.475",0.835,3,"0",0,8.41183267575841
2020,"삼성","심창민","7.52",23,2,2,0,3,"0.500",20.3333333333333,18,3,18,2,21,20,17,"1.77",0,0,0,1,98,412,"0.240",0,1,2,1,0,3,0,0,0,2,4,3,0,1,10,27,"0.37",0.288,17.9,"20.3","9.30","7.97","1.17",0.396,"0.387",0.783,3,"0",0,10.2399597891573
2020,"삼성","장지훈","10.08",29,0,1,0,0,"0.000",27.6666666666667,39,7,21,3,24,37,31,"2.17",0,0,0,1,146,606,"0.331",4,0,1,3,0,5,0,0,0,0,9,2,0,0,16,42,"0.38",0.356,20.9,"21.9","7.81","6.83","1.14",0.434,"0.542",0.976,3,"0",0,8.34283980427146
2020,"LG","정우영","3.12",65,4,4,5,20,"0.500",75,48,3,29,11,59,26,26,"1.03",0,0,0,4,305,1129,"0.185",5,0,4,1,3,1,0,0,0,4,15,26,1,10,119,35,"3.40",0.226,17.4,"15.1","7.08","3.48","2.03",0.292,"0.238",0.53,2,"1",0,9.7981270368783
2020,"LG","최동환","3.47",54,4,1,0,4,"0.800",57,54,6,12,2,42,23,22,"1.16",0,0,0,2,228,790,"0.261",10,1,1,6,0,3,0,0,0,4,16,9,0,8,36,81,"0.44",0.291,14.6,"13.9","6.63","1.89","3.50",0.3,"0.406",0.706,6,"0",0,9.39266192877014
2020,"LG","최성훈","3.51",48,0,0,0,2,"-",33.3333333333333,36,1,16,1,24,13,13,"1.56",0,0,0,0,145,556,"0.286",4,1,2,0,2,1,0,0,0,0,6,7,0,6,47,19,"2.47",0.347,11.6,"16.7","6.48","4.32","1.50",0.371,"0.357",0.728,6,"0",0,8.88183630500415
2020,"LG","이정용","3.71",34,3,0,0,4,"1.000",34,32,6,14,2,33,15,14,"1.35",0,0,0,1,147,585,"0.248",5,0,1,1,0,0,1,0,0,3,3,7,0,2,17,48,"0.35",0.286,17.2,"17.2","8.74","3.71","2.36",0.329,"0.426",0.755,6,"0",0,8.51719319141624
2020,"LG","고우석","4.10",40,0,4,17,1,"0.000",41.6666666666667,37,2,19,2,51,22,19,"1.34",0,0,0,4,183,714,"0.234",9,0,2,2,1,5,0,0,0,0,34,22,4,3,38,34,"1.12",0.327,17.9,"17.1","11.02","4.10","2.68",0.32,"0.329",0.649,1,"1",0,9.7981270368783
2020,"LG","김대현","5.85",33,4,0,0,3,"1.000",32.3333333333333,37,6,23,1,28,24,21,"1.86",0,0,0,2,158,599,"0.285",7,2,2,2,1,3,0,0,0,4,8,8,0,3,28,39,"0.72",0.316,18.2,"18.5","7.79","6.40","1.22",0.391,"0.508",0.899,6,"0",0,8.98719682066197
2020,"LG","김윤식","6.25",23,2,4,0,2,"0.333",67.6666666666667,87,7,24,6,38,50,47,"1.64",0,0,1,0,308,1165,"0.323",16,1,4,5,0,2,1,11,2,0,3,0,0,7,65,84,"0.77",0.349,50.7,"17.2","5.05","3.19","1.58",0.385,"0.468",0.853,6,"0",0,8.51719319141624
2020,"LG","이상규","6.68",28,2,3,4,1,"0.400",31,45,4,21,1,18,23,23,"2.13",0,0,0,1,152,574,"0.357",10,1,1,3,0,2,0,0,0,2,12,7,0,8,33,33,"1.00",0.383,20.5,"18.5","5.23","6.10","0.86",0.444,"0.548",0.992,3,"0",0,8.29404964010203
2020,"두산","박치국","2.89",63,4,4,0,7,"0.500",71.6666666666667,65,5,34,5,66,34,23,"1.38",0,0,0,1,317,1230,"0.238",12,2,3,2,4,1,0,0,0,4,9,13,0,8,81,63,"1.29",0.294,19.5,"17.2","8.29","4.27","1.94",0.331,"0.352",0.683,5,"0",0,9.68034400122192
2020,"두산","김강률","3.54",30,2,2,0,0,"0.500",28,36,1,20,4,28,22,11,"2.00",0,0,0,0,141,552,"0.310",6,2,0,1,0,0,0,0,0,2,10,2,0,2,30,23,"1.30",0.398,18.4,"19.7","9.00","6.43","1.40",0.426,"0.422",0.848,5,"0",0,9.30565055178051
2020,"두산","최원준","3.80",42,10,2,0,0,"0.833",123,134,15,35,7,94,52,52,"1.37",0,0,4,0,532,2148,"0.277",23,3,2,4,0,2,1,18,9,1,3,3,0,9,91,169,"0.54",0.314,51.1,"17.5","6.88","2.56","2.69",0.332,"0.430",0.762,5,"0",0,9.68034400122192
2020,"두산","함덕주","3.90",36,5,1,10,2,"0.833",55.3333333333333,55,2,21,0,55,25,24,"1.37",0,0,1,3,240,972,"0.255",7,0,0,3,2,7,0,6,2,3,19,16,0,3,52,57,"0.91",0.327,27,"17.6","8.95","3.42","2.62",0.317,"0.315",0.632,1,"1",0,9.71111565988867
2020,"두산","이영하","4.64",42,5,11,6,0,"0.313",132,148,9,66,5,85,78,68,"1.62",0,0,7,2,605,2235,"0.284",26,1,7,6,3,4,1,19,3,2,20,8,0,7,138,156,"0.88",0.321,53.2,"16.9","5.80","4.50","1.29",0.366,"0.390",0.756,2,"1",0,9.85219425814858
2020,"두산","윤명준","4.83",42,1,0,2,7,"1.000",41,51,4,13,1,20,24,22,"1.56",0,0,0,0,185,651,"0.315",6,1,4,5,1,1,0,0,0,1,13,8,0,3,44,52,"0.85",0.329,15.5,"15.9","4.39","2.85","1.54",0.359,"0.438",0.797,3,"0",0,9.65502619323763
2020,"두산","김민규","4.89",29,1,2,1,0,"0.333",53.3333333333333,47,3,22,3,54,30,29,"1.29",0,0,0,1,231,998,"0.230",14,0,2,0,2,1,0,4,1,0,8,3,0,1,37,66,"0.56",0.299,34.4,"18.7","9.11","3.71","2.45",0.314,"0.343",0.657,4,"0",0,8.61250337122056
2020,"두산","홍건희","4.98",60,3,4,1,8,"0.429",68.6666666666667,74,8,22,5,60,39,38,"1.40",0,0,0,3,299,1210,"0.276",14,3,3,1,0,3,0,0,0,3,20,13,0,9,61,74,"0.82",0.328,20.2,"17.6","7.86","2.88","2.73",0.341,"0.440",0.781,4,"0",0,9.30565055178051
2020,"두산","이현승","5.31",62,2,1,2,10,"0.667",42.3333333333333,48,2,21,2,42,27,25,"1.63",0,0,0,2,195,783,"0.286",9,2,3,1,0,3,1,0,0,2,6,13,0,3,30,49,"0.61",0.368,12.6,"18.5","8.93","4.46","2.00",0.37,"0.399",0.769,3,"0",0,8.85366542803745
2020,"두산","이승진","5.61",33,2,4,0,5,"0.333",51.3333333333333,55,3,22,2,54,33,32,"1.50",0,0,1,1,228,989,"0.275",12,2,2,2,1,0,0,5,0,2,2,6,0,6,44,49,"0.90",0.359,30,"19.3","9.47","3.86","2.45",0.35,"0.400",0.75,5,"0",0,9.21034037197618
2020,"두산","이형범","7.71",27,1,2,1,1,"0.333",25.6666666666667,30,5,16,2,13,22,22,"1.79",0,0,0,2,122,444,"0.291",6,0,1,0,2,1,0,0,0,1,8,4,0,2,27,33,"0.82",0.294,16.4,"17.3","4.56","5.61","0.81",0.397,"0.495",0.892,4,"0",0,9.10497985631836
