SGG_nm,SGG_cd,BJD_nm,BJD_eng_nm,BJD_cd,y,avg_apt_age,avg_TF_large,cnt,rate_big_area_m2,pop_50_69,rate_buy,rate_welfare_recipient,avg_D_Sub
종로구,11110,사직동,Sajik-dong,11500,16.32768758,15.86363636,0,1,0.450268817,217.9583333,0.136363636,1.27699739,374.1173232
종로구,11110,내수동,Naesu-dong,11800,16.37088181,19.24,0,1,0.2,217.9583333,0.178571429,1.27699739,250.1090601
종로구,11110,익선동,Ikseon-dong,13300,15.88601347,20.44444444,0,1,0,84.82142857,0.329787234,12.97090352,286.8439663
종로구,11110,인의동,Inui-dong,15700,16.12851289,17,0,1,0.483221477,84.82142857,0.106060606,12.97090352,282.1403165
종로구,11110,효제동,Hyoje-dong,16200,16.42794672,3.06122449,0,1,0,318.1,0.443298969,6.327994497,616.1671317
종로구,11110,충신동,Chungsin-dong,16700,15.73567956,12,0,1,0.005524862,318.1,0.179487179,6.327994497,533.688666
종로구,11110,명륜2가,Myeongnyun 2(i)-ga,17100,16.3519067,26.92307692,0,1,0,980.5,0.117318436,2.364433936,428.8278122
종로구,11110,창신동,Changsin-dong,17400,16.20219257,27.81904762,0,3,0.134776193,7253.5,0.134848485,6.786321155,198.4178564
종로구,11110,숭인동,Sungin-dong,17500,16.04009859,12.84756098,0,3,0.244588745,4890,0.175757576,5.423950335,118.3176214
종로구,11110,평동,Pyeong-dong,17700,16.97614969,6,0,1,0.025466893,455.4166667,0.076923077,2.45130448,616.1671317
종로구,11110,홍파동,Hongpa-dong,17900,16.94177567,6,1,1,0.168989547,455.4166667,0.078624079,2.45130448,616.1671317
종로구,11110,행촌동,Haengchon-dong,18100,15.98194369,52,0,1,0,455.4166667,0.053811659,2.45130448,616.1671317
종로구,11110,평창동,Pyeongchang-dong,18300,15.91701008,21.37931034,0,2,0.361445783,2891.75,0.281767956,0.875422789,3491.486861
종로구,11110,무악동,Muak-dong,18700,16.5328677,16.01769912,0,5,0.206254654,2463,0.140384615,2.670127944,197.7218333
중구,11140,회현동1가,Hoehyeon-dong 1(il)-ga,12100,16.35759237,17.6031746,0,2,0.428109855,163.3,0.253968254,10.10755175,192.5970056
중구,11140,회현동2가,Hoehyeon-dong 2(i)-ga,12200,16.28331154,13,0,1,0,163.3,0.211538462,10.10755175,205.4734037
중구,11140,충무로4가,Chungmuro 4(sa)-ga,13200,16.03504969,36.94117647,0,2,0.409660107,105.0909091,0.247706422,2.833226014,206.5317265
중구,11140,충무로5가,Chungmuro 5(o)-ga,13300,16.13942389,6.041666667,0,1,0,105.0909091,0.18579235,2.833226014,248.2334054
중구,11140,인현동2가,Inhyeon-dong 2(i)-ga,13400,15.97923478,47.14285714,0,2,0.027707809,152.85,0.18,4.727344056,236.8870901
중구,11140,묵정동,Mukjeong-dong,13600,15.96816215,41.66666667,0,1,0.008196721,371.8333333,0.42,3.391709155,248.2334054
중구,11140,오장동,Ojang-dong,15400,16.409914,2.955882353,0,1,0,152.85,0.313513514,4.727344056,248.2334054
중구,11140,입정동,Ipjeong-dong,15600,16.62865702,0,0,2,0,60.1,0.313513514,10.43905434,161.786033
중구,11140,신당동,Sindang-dong,16200,16.4516682,19.34210526,0.2,15,0.168633422,5490.5,0.119017632,5.855179255,388.760871
중구,11140,황학동,Hwanghak-dong,16500,16.24592159,12.48826291,0.333333333,3,0.191279887,3241.5,0.118042226,4.446592557,352.8434484
