sens_start,location,type,place,obs,activity
2011-11-28 02:27:59,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-11-28 10:21:24,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Toileting
2011-11-28 10:21:44,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-28 10:23:02,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-28 10:25:44,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-11-28 10:34:23,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-11-28 10:34:44,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-11-28 10:38:00,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-11-28 10:38:33,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-11-28 10:41:29,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-11-28 10:41:43,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Breakfast
2011-11-28 10:41:59,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-11-28 10:49:48,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-28 10:51:41,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-28 13:06:04,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-28 13:06:07,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-28 13:09:31,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-28 13:28:59,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-28 13:38:40,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-28 14:26:38,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-28 14:27:11,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-28 14:28:48,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-28 14:31:06,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-11-28 14:31:44,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-28 14:35:22,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-28 15:04:59,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-28 15:07:01,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-28 16:10:05,Basin,PIR,Bathroom,Basin|Bathroom,Spare_Time/TV
2011-11-28 16:10:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-28 20:20:55,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-11-28 20:21:15,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-29 02:16:05,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-11-29 11:37:38,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-29 11:38:16,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-11-29 11:48:52,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-11-29 11:49:57,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-11-29 12:08:28,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-11-29 12:09:09,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-11-29 12:09:24,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-11-29 12:09:42,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-11-29 12:19:16,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-11-29 12:19:24,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-29 12:21:56,Toilet,Flush,Bathroom,Toilet|Bathroom,Grooming
2011-11-29 12:22:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-29 13:25:29,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-11-29 13:25:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-29 15:13:28,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-29 15:13:32,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-29 15:14:33,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-29 15:15:14,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-11-29 15:15:17,Microwave,Electric,Kitchen,Microwave|Kitchen,Lunch
2011-11-29 15:15:27,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-29 15:24:13,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-29 15:24:39,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-29 15:45:49,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-29 15:49:51,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-29 15:52:04,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-29 16:31:16,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-29 16:34:17,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-29 17:08:58,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-29 17:09:04,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-29 17:09:09,Seat,Pressure,Living,Seat|Living,Toileting
2011-11-29 19:02:15,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-29 20:23:32,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-29 20:28:08,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 01:22:33,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-11-30 10:14:45,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-11-30 10:23:02,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-11-30 10:23:21,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-11-30 10:23:46,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-11-30 10:24:10,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-11-30 10:39:30,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-30 10:39:42,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-11-30 10:41:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 13:05:27,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-11-30 13:05:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 14:11:16,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-30 14:11:22,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-30 14:13:45,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 14:39:42,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-11-30 14:40:14,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-11-30 14:41:57,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-30 14:46:46,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-30 14:50:19,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-11-30 15:11:48,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 16:40:04,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-30 16:41:05,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-11-30 16:41:15,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 18:01:44,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-30 18:01:46,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-30 18:01:54,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 18:57:08,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-30 18:57:39,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-11-30 19:37:36,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-11-30 19:37:40,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-11-30 19:46:44,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-30 20:05:07,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-11-30 20:13:39,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-11-30 20:14:03,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-01 01:37:52,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-01 10:55:03,Toilet,Flush,Bathroom,Toilet|Bathroom,Grooming
2011-12-01 10:55:08,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-01 10:55:16,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-01 10:58:37,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-01 11:17:05,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-01 11:17:14,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-01 11:17:29,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-01 11:17:49,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-01 11:30:06,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-01 14:08:19,Basin,PIR,Bathroom,Basin|Bathroom,Spare_Time/TV
2011-12-01 14:29:37,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-01 14:29:48,Microwave,Electric,Kitchen,Microwave|Kitchen,Lunch
2011-12-01 14:38:25,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-01 14:49:15,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-01 15:09:00,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-01 16:26:35,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-01 16:26:36,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-12-01 17:29:29,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-01 18:49:46,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-01 18:55:03,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-01 23:53:00,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
